ID,Game Product Name,Notes for Slackbot
976,Test Pregames bundle,Coin + Items Bundle
940,Spooky Harvest Bundle,Coin + Items Bundle
933,Incent Golden Harvest Bundle,Coin + Items Bundle
932,Incent Head Farmer Bundle,Coin + Items Bundle
914,Golden Harvest Bundle,Coin + Items + No Ads Bundle
913,Head Farmer Bundle,Coin + Items + No Ads Bundle
912,Bountiful Bundle,Coin + Items Bundle
911,Welcome Bundle,Coin + Items Bundle
910,Starter Bundle,Coin + Items Bundle
909,PlayOn Bundle,Coin + Items Bundle
905,VIP Pass,Season Pass + Limited Time No Ads
904,VIP Pass (Upgrade),Season Pass + Limited Time No Ads
903,Super Pass,Season Pass
901,No Ads Bundle 2,No Ads + Item Bundle
873,Ad Watch Coin Pack,Coins Only
859,No Ads Offer,No Ads Only
857,"Coin Pack 100,000",Coins Only
856,"Coin Pack 45,000",Coins Only
855,"Coin Pack 25,000",Coins Only
854,"Coin Pack 10,000",Coins Only
853,"Coin Pack 5,000",Coins Only
852,"Coin Pack 1,000",Coins Only
